Size,Bedrooms,Age,Location,Price
174.3730368426732,5,2,B,250539.8126307011
473.28773470962716,12,3,A,754393.6782028007
346.2004501576424,9,11,B,805277.9798667541
256.96453740267845,11,2,A,385919.1142284001
290.62356689183554,5,5,B,501582.5442258494
266.8609190360259,9,3,C,402669.0475256066
415.49077951249103,7,6,B,757953.4569024679
300.8819670791031,12,1,C,396423.02933451766
191.00411438937164,7,5,B,332302.6504176272
495.41456792262613,4,7,A,986368.2354202257
266.34541610933,5,3,C,399421.9791706831
495.34697064675373,7,9,C,1028416.1474148997
178.67578482002904,7,13,B,453429.08766421967
278.4364944035307,8,2,A,415757.01622229756
244.01258397264084,11,3,B,377308.9394503154
393.4700952064697,5,5,C,664529.7599468691
270.0034316425034,7,11,C,615707.7417854876
131.0664191650333,7,15,B,360789.6535276017
326.64205276782616,4,10,D,694963.8972989344
234.7718811408527,7,11,C,536225.3638537638
130.22886105688835,5,12,B,317422.2468299174
364.9991196599402,7,14,D,917258.2052065902
277.2878560977657,12,10,A,646326.2753214444
144.42860608395333,8,7,C,276610.35058916063
343.8352407701425,11,14,B,904104.3895696275
197.72119994206352,12,10,B,446635.3477123544
241.91354582814222,6,4,C,387151.0565917773
147.97068083750958,4,2,D,204129.28397129703
125.35816237168497,5,14,C,324211.16507356655
268.3850929009493,4,6,B,489204.16349192767
444.91610716143606,11,6,B,814277.2264450847
490.34457897739753,11,6,C,878991.9722638581
174.28768763621275,12,3,D,261444.4776186309
184.16013571651345,5,7,A,369566.640504992
370.11078638386164,10,10,C,808439.2985891412
418.8617266941343,10,9,D,855667.9918187592
200.94295757810897,6,13,A,527910.0617602834
410.37779389031834,5,13,D,989510.7426546293
395.22685737255915,9,5,B,683686.7427936173
469.22964333909505,7,3,B,716604.783474345
498.1421848247846,11,13,D,1206058.627082051
370.97807452497887,11,2,C,522781.4797387706
464.88972187611876,12,15,A,1314939.397698131
151.28486980014912,6,6,B,278584.3673403662
174.6032990436905,9,13,D,427876.69853777526
403.4351650016442,4,5,A,721405.341834928
263.808611466118,5,13,C,650903.4808690569
195.7817242357366,6,4,A,332922.9462607712
160.61865651634056,7,7,A,324506.4124985049
140.91796374211157,9,12,C,340259.0507214464
431.1032131066545,4,4,B,699217.6393521596
463.1611275100738,6,6,B,843554.4457070489
277.29513816616685,9,5,A,500485.18204631
488.21595595542874,4,9,B,1031340.087753845
468.16725389659274,11,9,A,1034302.6447651216
319.2466865650654,12,5,D,533839.7447607236
414.5912817883623,8,7,A,829296.1722782832
433.4329672792224,4,14,A,1173307.0768838425
357.4336382305281,11,8,C,712449.4000376794
385.4397947530888,6,11,C,875192.1769629683
347.7350433779417,8,12,C,825712.8220249187
226.78120611133744,9,10,C,497947.40520048887
137.54195086003006,10,5,C,238070.47744485046
280.86128312960466,8,4,B,459167.5579268397
465.35564161197925,9,7,A,930855.7067634827
341.0640591617274,7,3,C,511843.3200326504
417.8978925150985,11,6,C,750326.6571068148
249.81893869613975,10,2,D,346477.003411726
135.59214405560823,12,1,D,178563.27032214688
167.80449434990538,11,3,C,256513.08759265923
361.81208005683135,8,7,C,683552.2138663883
167.30898154149733,9,4,B,276376.5752969664
446.1140895050507,9,13,C,1101267.2911083642
287.45599652882436,12,9,D,591556.5932987836
486.4734014560032,9,2,A,723334.4333163619
425.41565851694315,7,3,D,624611.3298757472
329.74999883546036,7,11,A,795525.7572151666
432.271879635846,6,3,A,685756.9903120272
150.10627294629282,5,7,B,290596.9218145694
482.8768506222332,7,3,D,708403.5386513653
255.07740982360022,8,5,B,442812.64947372134
224.60666357415423,7,7,A,451479.09466346574
339.78645456780947,10,2,D,469207.08986322297
152.54507621165993,5,2,D,210937.891164898
352.80469768439315,10,7,C,668250.3940651839
290.099390488106,12,5,C,495766.97602001805
460.20326670927807,4,5,B,791460.317833019
320.3675742421283,10,8,A,677004.3892750189
123.3798989653775,12,3,B,194849.87545369138
159.98510221178128,12,12,B,395805.8596101518
271.63383600226604,9,11,B,633691.2527015344
356.08106018843193,4,4,B,578005.8473252457
391.40434862038734,7,13,B,984603.8023311624
264.77233139003744,11,15,D,696876.9757723048
300.94481306747775,4,7,A,600478.0114660575
471.30581813828803,7,3,B,719755.9185375681
146.5386354362816,9,6,B,272250.86886553286
196.87672310729312,9,12,A,500186.4959132546
419.0962659858781,12,14,A,1143634.9547081585
494.59983882684224,5,5,C,834427.7292290949
417.52527448374184,12,4,A,709436.8368691821
367.98060294385004,10,11,B,856355.5250461522
349.11111813093885,9,5,A,628375.0791675759
227.60252594097574,8,11,A,552250.7764342118
478.8956702458829,10,2,D,658974.3175226237
124.75419214189432,11,12,B,310285.8971160902
304.0254869076011,7,8,A,640305.8877282084
279.44260288606074,7,2,B,400904.9852817444
403.624495655145,11,9,A,893093.4165741524
296.3080653991125,7,8,A,624206.7290677807
190.2285097296567,5,11,D,425178.40759110334
244.893295118283,9,9,B,523463.7563466188
397.8232278189807,7,14,A,1080651.229065776
405.3681835264854,5,4,B,658311.2667600719
498.7646215751067,8,13,D,1204553.0777435438
245.035177321901,9,6,A,468353.0234191179
246.56718145384275,11,7,C,470153.76368159364
170.69998893007465,8,8,B,349347.5297786747
327.9864434954179,4,14,B,855410.2624973902
232.48264404840015,8,1,D,299505.1565529921
180.6091285758526,7,5,D,302156.8692872837
290.9815902028705,10,13,C,722522.9328166271
162.68598689142212,10,13,C,408455.2959102014
497.68845870404306,9,9,C,1034968.978765145
349.36526355860076,7,7,B,672661.2088493346
134.66440460814124,8,8,C,271579.54826882196
440.40240118072734,11,6,D,774488.7712070323
476.6566008724187,6,13,A,1243353.8804718219
190.99082047286652,4,2,A,284269.975424124
131.96853471507995,8,12,A,337323.79326886014
184.61713604603324,8,2,C,261627.05337607826
377.3584494214918,7,9,C,784887.839605959
226.9326191319372,12,3,A,365822.6815044219
188.53763881023298,11,3,B,293111.2866806192
424.3976045811804,7,8,C,840954.4858157631
342.3747351427123,12,3,B,527231.478010203
298.63035756595474,5,8,A,627312.8163111869
199.42170679077827,8,1,D,257515.12136083163
171.403883629528,10,12,A,437718.4503544488
137.32268099754978,8,8,D,271274.8154791144
398.8484880402651,7,13,D,963850.6767481177
211.86187389412163,8,14,C,547456.6071866454
228.9101619656081,4,13,C,564452.0764918086
364.55150214365096,12,9,B,778009.3864329855
239.35010690154002,11,1,B,322460.4933152838
209.33946140033243,5,5,B,362294.1010556096
403.6237490644629,10,14,C,1037418.8176199937
473.68386540145775,9,3,B,724630.0235517166
193.16629294279664,4,1,A,267653.7265930964
321.8428404731503,6,15,D,839139.7968721346
254.64070818232278,8,7,D,473268.8576029621
264.7362785696,12,9,D,545600.9653883014
446.11446368731174,10,6,C,799699.2875086656
488.69988824899826,5,8,A,1023813.0628784704
451.4208719572677,4,5,C,761187.0648882097
355.5772704879101,12,13,C,882693.1581544039
256.24460938334994,5,7,B,493261.7069409437
353.3516526264435,6,9,C,734477.8110209794
295.81292053048617,12,12,C,707511.9890877034
312.6631161878192,5,6,D,547809.9004625756
254.92887055963303,12,1,A,357079.88522000145
295.30975811451066,12,2,C,418031.18329539883
307.2870049331397,11,7,B,595497.6986995343
499.5666419287902,4,7,B,957074.9287645092
288.87190339320205,8,14,B,758237.5246769522
151.2122604623674,5,1,B,202644.51135041274
201.58882814315837,4,9,A,444690.50176472764
255.72350860203406,9,10,D,549253.5230087858
163.93246716839172,9,1,D,212970.14790123096
387.79718133989843,4,6,C,691687.7940596596
193.55728191358605,9,13,D,473348.0616019695
151.46512122567293,8,13,D,371367.6844252384
322.0086641668714,7,7,C,608260.2193203833
389.30947401377,11,13,C,964249.5923857089
278.3574912331338,5,13,A,727710.2868510343
200.81939210757082,8,5,A,363555.1734651621
275.40916874795596,12,4,A,470818.210694568
409.3375162682551,9,2,D,563517.4661925029
352.78639323940746,8,4,C,564093.6468912215
123.92024239496115,7,4,B,204927.85723269085
312.78076493300296,5,13,D,755371.5663048713
375.0182559863688,5,8,A,786664.0834480443
260.0134557322388,11,2,D,360952.35577169084
478.6707890930385,7,9,B,1013876.438861792
473.11841120916966,12,10,A,1094699.9143045149
359.9770840282639,7,12,B,870596.6236671662
401.294345877084,9,13,C,991548.5587071017
314.896956922356,9,2,C,443556.56403591955
150.29109776250786,5,6,D,265204.6498336897
475.7635907149139,8,2,A,706917.0933716698
321.4871011403895,4,7,B,617042.7304015053
479.9488759740832,11,13,C,1186134.8483845557
378.9586266747526,10,7,A,760243.1820832453
263.13670645061933,12,15,B,722038.5231302278
448.6023272106039,7,13,D,1083212.1270713273
417.27342437666874,5,14,B,1088180.4634465303
147.78575089877253,6,4,C,238052.6294236557
319.8439353570675,9,6,A,609184.9989458009
486.2190768121371,11,6,B,889098.3820267227
418.0102458039587,4,7,B,801347.883747911
277.5131875399106,9,15,C,742534.815105364
220.0861873434131,7,10,C,481686.16466177226
224.68520797127115,7,3,D,331898.1576720264
156.52203782196844,7,14,B,413724.3055034695
250.2853521525251,5,2,D,344271.2659923886
387.2614133169301,9,10,A,895259.7319304431
496.2578773009212,9,2,C,696010.9652028823
300.3768679518771,5,10,D,640247.7540805334
227.89478031659888,12,2,A,343640.9062527479
157.10890124430898,7,4,C,253480.49957098547
318.4624051749969,12,12,B,775999.2485110245
173.52241950163622,6,9,C,363310.2738513772
497.5679310336894,6,9,B,1052783.0138466056
122.32387933074232,7,12,D,288674.4489021878
165.37589707090535,12,14,D,424767.5565054156
334.2706218439831,6,12,C,792084.5025770483
155.20976430130557,5,6,D,273765.49057113635
487.90228509461366,8,9,A,1074744.9354213995
326.4058155525804,10,11,C,745771.5198866214
474.41625849334446,6,3,D,695458.3647853347
212.0117236756196,9,5,B,369729.28969054174
322.27892596755066,4,8,A,675776.4218823882
247.0768993857995,4,5,C,417889.1909681431
263.1492987317125,6,14,B,689328.0522929463
248.25384427617684,7,11,C,566640.6726870548
380.0441381968526,5,6,C,678658.3894376102
189.10687368728634,8,8,B,386296.7739649111
124.47163560393369,11,4,D,200334.60938069833
130.51188921950666,8,3,C,199161.6911586259
304.8163950116659,9,3,D,449963.85986181174
258.68301447870954,12,12,B,632586.0990550034
219.53167924246347,5,14,C,563788.5919928271
440.6973728737759,8,11,C,1001733.2732032384
270.0107642046673,5,9,C,561602.2173184332
127.04254740868848,12,7,A,262014.66767400873
363.97636881810536,9,6,B,666143.6716413741
296.49972933484264,11,6,C,534723.5192986806
272.5002990995539,8,15,B,742764.8054152789
458.6639010803245,11,9,C,956142.2918297896
245.35854158765966,6,8,D,478029.89764762396
208.09958260265228,10,6,C,376984.8587023104
161.83532193867313,11,15,B,448132.15491645905
480.12022212825445,11,12,B,1162823.2176945675
178.77020787350818,7,11,B,418083.3007418871
491.24313013458163,4,3,A,777456.7642986729
342.2389780059218,5,13,B,859759.0385216665
278.82626226694003,12,4,A,476555.64739668305
241.9641009823491,8,2,A,361941.27028147574
416.07149475971806,6,6,D,728515.315199394
405.83022632574387,4,4,D,632565.5769299787
170.6852666852934,11,1,B,231691.06773662308
280.8487327345307,8,14,D,708499.9925551132
192.5313477099723,10,12,B,471886.404410132
263.32839409845076,12,3,B,407258.1034268646
320.0419210136845,6,10,A,738491.982352932
154.29109969967377,7,3,C,233925.15635311458
362.9462870778599,11,9,B,773752.7592592769
181.9446417511666,8,13,C,453560.4830068559
248.80634006271308,11,8,C,498670.8772434194
448.24216588526497,9,7,A,896897.0946094492
201.3750013133765,10,10,C,443970.0028368932
